UID,Ack,Age,Gender,Education,WorkStatus,Country,UnderstandingOfPowerGrid,UnderstandingOfPowerGridSecurity,SharedExperience,Experience,PreQ1RemoteAccess,PreQ1RemoteAccessOther,PreQ1RemoteAccessElaborate,PreQ1RemoteAccessElaborateOther,PreQ1FDI,PreQ1FDIOther,PreQ1FDIElabourate,PreQ1FDIElabourateOther,PreQ2DER,PreQ2DEROther,PreQ2DERElabourate,PreQ2DERElabourateOther,PreQ2DERThreat,PreQ2DERThreatOther,PreQ2DERThreatElabourate,PreQ2DERThreatElabourateOther,PreQ3WAMS,PreQ3WAMSOther,PreQ3WAMSElabourate,PreQ3WAMSElabourateOther,PreQ3Attack,PreQ3AttackOther,PreQ3AttackElabourate,PreQ3AttackElabourateOther,PreQ4IEDAttack,PreQ4IEDAttackOther,PreQ4IEDAttackElabourate,PreQ4IEDAttackElabourateOther,PreQ4IEDAttackLine,PreQ4IEDAttackLineOther,PreQ4IEDAttackLineElabourate,PreQ4IEDAttackLineElabourateOther,PostQ1ARPSpoofing,PostQ1ARPSpoofingOther,PostQ1ARPSpoofingElabourate,PostQ1ARPSpoofingElabourateOther,PostQ1ARPImpact,PostQ1ARPImpactOther,PostQ1ARPImpactElabourate,PostQ1ARPImpactElabourateOther,PostQ2BlackEnergy,PostQ2BlackEnergyOther,PostQ2BlackEnergyElabourate,PostQ2BlackEnergyElabourateOther,PostQ2BlackEnergyAttackMethod,PostQ2BlackEnergyAttackMethodOther,PostQ2BlackEnergyAttackMethodElabourate,PostQ2BlackEnergyAttackMethodElabourateOther,PostQ3AMI,PostQ3AMIOther,PostQ3AMIElabourate,PostQ3AMIElabourateOther,PostQ3DataIntegrity,PostQ3DataIntegrityOther,PostQ3DataIntegrityElabourate,PostQ3DataIntegrityElabourateOther,PostQ4ExposedVPN,PostQ4ExposedVPNOther,PostQ4ExposedVPNElabourate,PostQ4ExposedVPNElabourateOther,PostQ4ExposedVPNImpact,PostQ4ExposedVPNImpactOther,PostQ4ExposedVPNImpactElabourate,PostQ4ExposedVPNImpactElabourateOther,post_training,pre_training,Score,totalclicks,Response Type,Start Date (UTC),timetaken,Submit Date (UTC),Network ID,Tags
s1i89weh1984jq1p13uos1i89wpw9v39,1,25 - 35 Yrs,Male,Graduate,Employed,Singapore,1,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It identifies vulnerabilities before exploitation.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,SCD (Station Configuration Description),,CID file contains everything that is needed from SCD to configure an IED,,PBDF.DifAClc. rangeC.min.f,,PLDF is related to Line differential protection,,Anomaly and Intrusion detection systems,,It can specifically identify ARP-related anomalies,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Stealing login credentials and other sensitive data,,It just rewrites the firmware without any further damages,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,52,51,0,0,completed,20/7/2024 3:49,1:05,20/7/2024 4:54,d3c134efea,
j7rjykrswdctjtwqj7rjyyo5dswa8gt7,1,25 - 35 Yrs,Male,Graduate,Employed,Singapore,1,1,1,I have created simple test attacks on the EPIC testbed,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,PDC physical access is easy as it is not protected by proper authorization,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,End-to-end encryption and passwords,,It secures data transmission from end to end,,"Alteration of voltage or current setpoints, risking equipment damage",,It could cause long-term damage to infrastructure,,Creating botnets of compromised devices for further attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Regular checksum validations,,It checks for data corruption during transmission,,Inadequate security policy for OT,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,Security perimeter helps to protect boundaries of a network,,40,53,0,0,completed,20/7/2024 3:48,0:47,20/7/2024 4:36,6b0000c295,
umlmjve99ayluah3mauumlmjardif3zr,1,25 - 35 Yrs,Male,Post Graduate,Studying,Singapore,0,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,IID (Instantiated IED Description),,IID file defines the configuration of an IED for a specific project.,,PBDF.DifAClc. rangeC.min.f,,PBDF is related to Bus bar protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,56,62,0,0,completed,20/7/2024 3:48,0:51,20/7/2024 4:39,75234400fc,
memy470lq5uy9shaad18pmemy47myiql,1,18-25 Yrs,Male,Post Graduate,Employed,Singapore,1,1,1,Can create a script to spoof the values of sensors,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It provides the most robust authentication mechanism,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Implementation of TLS/SSL for data encryption in transit,,It offers both encryption and reliable data flow,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PBDF.DifAClc. rangeC.min.f,,PTRC is related to Protection Trip Conditioning,,Anomaly and Intrusion detection systems,,It restricts network access to trusted,,"Unwanted relay trip delays, causing cascading effects",,It poses a direct threat to system stability,,Stealing login credentials and other sensitive data,,It just rewrites the firmware without any further damages,,Phishing emails,,It is the most direct and forceful approach,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of configuration management policy,,The security team did not know what software was in their inventory,,Logs were not analyzed for anomalies,,Logs are essential to trace back past events,,42,42,0,0,completed,20/7/2024 3:48,1:08,20/7/2024 4:57,d3c134efea,
vfz8ya6zrbxza7gmvfz8yadmqdu6gi9q,1,18-25 Yrs,Male,Post Graduate,Studying,Singapore,1,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,"A router is a link between commercial and control systems, exposed to the internet",,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Alteration of voltage or current setpoints, risking equipment damage",,It represents the most immediate and dangerous impact,,Creating botnets of compromised devices for further attacks,,It will just steal login credentials,,Direct network intrusion,,It bypasses most conventional security measures,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of configuration management policy,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,51,55,0,0,completed,20/7/2024 3:48,0:41,20/7/2024 4:29,f35079f3a8,
whac8xazzqc5hwtvt9owhac8avpbnoe4,1,18-25 Yrs,Male,Diploma,Studying,Singapore,0,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise wired links in between,,"A router is a link between commercial and control systems, exposed to the internet",,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PBDF.DifAClc. rangeC.min.f,,PBDF is related to Bus bar protection,,End-to-end encryption and passwords,,It secures data transmission from end to end,,"Alteration of voltage or current setpoints, risking equipment damage",,It could cause long-term damage to infrastructure,,Stealing login credentials and other sensitive data,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,47,52,0,0,completed,20/7/2024 3:48,0:51,20/7/2024 4:39,d3c134efea,
kxyrh01j1yszsi7qkxyrhbvyengnku36,1,25 - 35 Yrs,Male,Doctorate,Studying,Singapore,1,1,0,,IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Implementation of TLS/SSL for data encryption in transit,,It provides end-to-end encryption,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,Physical access to the link is easy to achieve,,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unexpected opening of circuit breakers, leading to instability",,It poses a direct threat to system stability,,Stealing login credentials and other sensitive data,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It offers stealthy access to network systems,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,56,41,0,0,completed,20/7/2024 3:48,0:51,20/7/2024 4:39,d3c134efea,
o516pdh2xt8j2jcgjpo516pd8rn5smjr,1,18-25 Yrs,Male,Graduate,Studying,Singapore,1,1,0,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Implementation of TLS/SSL for data encryption in transit,,It offers both encryption and reliable data flow,,Periodic updates and patch management.,,It ensures all components are up-to-date,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,RBRF.OpE,,RBRF is related to Breaker Failure protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Creating botnets of compromised devices for further attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,57,54,0,0,completed,20/7/2024 3:48,1:06,20/7/2024 4:54,6b0000c295,
wybrn4h9xinvf7ms4p9wybrn3lhuf0nf,1,25 - 35 Yrs,Male,Post Graduate,Studying,India,0,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It ensures data integrity and confidentiality,,Implementation of TLS/SSL for data encryption in transit,,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,PDC physical access is easy as it is not protected by proper authorization,,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,Altering of sensed voltage and current measurements by relays,,It represents the most immediate and dangerous impact,,,argeting Firmware Update Mechanisms:,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It is the most direct and forceful approach,,Encryption of data at transit using AES-256,,It prevents interception by rapidly changing transmission frequencies,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of configuration management policy,,Inadequate guidelines can lead to such problems,,No security perimeter defined,,Security perimeter helps to protect boundaries of a network,,39,50,0,0,completed,19/7/2024 11:38,0:15,19/7/2024 11:53,4bb05ddaa7,
hl5cho9xwfc3wsh0b83hl5ch7ydwqqob,1,35 - 50 Yrs,Male,Post Graduate,Studying,India,1,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Redundant data transmission,,It detects unusual patterns that indicate tampering,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,Physical access to the link is easy to achieve,,IID (Instantiated IED Description),,IID file defines the configuration of an IED for a specific project.,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Social engineering,,It bypasses most conventional security measures,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of configuration management policy,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,53,38,0,0,completed,19/7/2024 11:12,1:03,19/7/2024 12:16,4e8550c87b,
h8ylbyco26n409zwmoumh8ylbyjgu9tn,1,25 - 35 Yrs,Male,Post Graduate,Studying,India,1,1,1,I am a PhD Student working in IISc on power system dynamics and control aspects,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Alteration of voltage or current setpoints, risking equipment damage",,It could cause long-term damage to infrastructure,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Physical tampering with systems,,It is the most direct and forceful approach,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,Logs were not analyzed for anomalies,,Logs are essential to trace back past events,,48,54,0,0,completed,19/7/2024 11:08,0:48,19/7/2024 11:57,6819b1d88f,
qhablseqsg7cwf63hdzqjqhablvqks5r,1,25 - 35 Yrs,Male,Graduate,Studying,India,1,1,0,,Strict password policies for user authentication,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,,I don't know much about the protocols to answer this question properly.,,I don't know the protocols.,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,,I don't know.,,I didn't know what the function of each file type was.,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It offers stealthy access to network systems,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,The operator did not know what tool could be downloaded or installed,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,49,32,0,0,completed,19/7/2024 11:08,0:53,19/7/2024 12:02,6819b1d88f,
yy6yuz8b25sze0chhlefkyy6yuzhcc89,1,25 - 35 Yrs,Male,Post Graduate,Studying,India,1,0,,,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Encryption-based techniques,,It secures commands and controls against unauthorized changes,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Time Synchronization Attack,,Time Synchronization is critical for all applications,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,RBRF.OpE,,RBRF is related to Breaker Failure protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unexpected opening of circuit breakers, leading to instability",,It poses a direct threat to system stability,,Identifying and patching vulnerabilities within ICS systems,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It is the most direct and forceful approach,,Encryption of data at transit using AES-256,,It restricts device connections to those explicitly allowed,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It checks for data corruption during transmission,,Inadequate security policy for OT,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,48,39,0,0,completed,19/7/2024 11:07,1:15,19/7/2024 12:23,6819b1d88f,
10ue323e8zknxoc10ue3izt2r5gq9dnj,1,25 - 35 Yrs,Male,Post Graduate,Studying,India,1,1,1,"I’m currently working on modelling CPS for Power System State Estimator, there are many challenges where it should be implemented either Transmission system or Distribution systems. Also the challenges with network topology and it’s tracking is also be considered. The network may undergo different attacks but to be able to track and estimate the state is an important task and the work is still ongoing.",Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Encryption-based techniques,,It detects unusual patterns that indicate tampering,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,Physical access to the link is easy to achieve,,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PBDF.DifAClc. rangeC.min.f,,PTRC is related to Protection Trip Conditioning,,End-to-end encryption and passwords,,It secures data transmission from end to end,,"Alteration of voltage or current setpoints, risking equipment damage",,It could cause long-term damage to infrastructure,,Identifying and patching vulnerabilities within ICS systems,,It just rewrites the firmware without any further damages,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,41,42,0,0,completed,19/7/2024 10:32,0:32,19/7/2024 11:05,9b1a3fd527,
ehhx0wnqvhhf9fehhlavsrjul9rmwqla,1,25 - 35 Yrs,Male,Post Graduate,Studying,India,1,1,1,I have read some papers detailing on the vulnerability of cyber security about scenarios like fault conditions could be shown up as non fault scenarios and vice versa.,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,RBRF.OpE,,RBRF is related to Breaker Failure protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Lack of inventory management policy,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,52,46,0,0,completed,19/7/2024 10:29,0:40,19/7/2024 11:09,4bb05ddaa7,
zs2kl2k5m480g6ovxzs2kl229p2bdqt5,1,18-25 Yrs,Male,Graduate,Studying,Singapore,1,1,0,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise PDC,,PDC physical access is easy as it is not protected by proper authorization,,IID (Instantiated IED Description),,IID file defines the configuration of an IED for a specific project.,,PBDF.DifAClc. rangeC.min.f,,PBDF is related to Bus bar protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Alteration of voltage or current setpoints, risking equipment damage",,It could cause long-term damage to infrastructure,,Creating botnets of compromised devices for further attacks,,It will launch a DDoS attack only,,Social engineering,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of configuration management policy,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,55,56,0,0,completed,11/7/2024 10:14,0:14,11/7/2024 10:28,493726215a,
ox6rhtvibe0o58foxaox6rhkbklkj8l4,1,25 - 35 Yrs,Female,Graduate,Employed,Singapore,1,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It only allows access from pre-approved IP addresses,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Implementation of TLS/SSL for data encryption in transit,,It offers both encryption and reliable data flow,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Time Synchronization Attack,,Time Synchronization is critical for all applications,,Compromise one or multiple PMUs,,Physical access to the link is easy to achieve,,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,RBRF.OpE,,RBRF is related to Breaker Failure protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Stealing login credentials and other sensitive data,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Regular checksum validations,,It checks for data corruption during transmission,,Inadequate security policy for OT,,The security team did not know what software was in their inventory,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,45,45,0,0,completed,11/7/2024 9:13,0:43,11/7/2024 9:56,8937b5e40a,
bidsc1u7pbfopf9bivrnxdsiwx4qwtwv,1,35 - 50 Yrs,Male,Post Graduate,Employed,Singapore,0,0,,,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Secure control methodologies,,It secures commands and controls against unauthorized changes,,Implementation of TLS/SSL for data encryption in transit,,It creates a secure channel for remote access,,Periodic updates and patch management.,,It provides real-time threat analysis and response,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise wired links in between,,PDC physical access is easy as it is not protected by proper authorization,,ICD (IED Capability Description),,CID file contains everything that is needed from SCD to configure an IED,,PTRC.Tr.General,,PLDF is related to Line differential protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Alteration of voltage or current setpoints, risking equipment damage",,It poses a direct threat to system stability,,Identifying and patching vulnerabilities within ICS systems,,It will launch a DDoS attack only,,Direct network intrusion,,It bypasses most conventional security measures,,Encryption of data at transit using AES-256,,It prevents interception by rapidly changing transmission frequencies,,Regular checksum validations,,It restricts access based on user roles,,Lack of configuration management policy,,The operator did not know what tool could be downloaded or installed,,No security perimeter defined,,OT security training educates authenticated users on cyber threats,,34,38,0,0,completed,5/7/2024 3:17,0:03,5/7/2024 3:20,052b076485,
